Date,Close_TSLA,High_TSLA,Low_TSLA,Open_TSLA,Volume_TSLA,Daily_Return_TSLA,Rolling_Mean_30D_TSLA,Rolling_Std_30D_TSLA,Close_BND,High_BND,Low_BND,Open_BND,Volume_BND,Daily_Return_BND,Rolling_Mean_30D_BND,Rolling_Std_30D_BND,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,Daily_Return_SPY,Rolling_Mean_30D_SPY,Rolling_Std_30D_SPY
2015-08-12,15.878000259399414,15.98466682434082,15.515999794006348,15.666666984558104,55920000,0.0033702625495031224,17.482022285461426,0.779271160522949,61.58295440673828,61.79387981419249,61.56789076932854,61.71101544022316,1029700,-0.0003668219116770288,61.234998321533205,0.23381999983982807,176.1141357421875,176.2995910609025,173.113150203364,174.5883547804749,172123700,0.0011978653378679205,176.40917053222657,1.7526012441148673
2015-08-13,16.167333602905273,16.43199920654297,15.941332817077637,15.990667343139648,70338000,0.018222278547613824,17.42282231648763,0.8098765907791284,61.454891204833984,61.58295223380025,61.43229287587359,61.522686191715145,845500,-0.0020795235164989823,61.25627034505208,0.22324502673332103,175.89498901367188,176.64523549175536,175.34704809917466,175.95399051546298,89383300,-0.0012443449107142346,176.44176584879557,1.7328772675481128
2015-08-14,16.209999084472656,16.528667449951172,16.118000030517578,16.482667922973633,65472000,0.0026389930841606013,17.34088897705078,0.8038739192984368,61.43229293823242,61.52268625416573,61.40215991715928,61.43229293823242,2279800,-0.0003677212042608735,61.2717778523763,0.21857242368575086,176.5355987548828,176.61146332146757,175.5577459096969,175.70104993416635,72786500,0.0036420010871438535,176.5010553995768,1.703421106181734
2015-08-17,16.999332427978516,17.106000900268555,16.700666427612305,17.03733253479004,107650500,0.04869422505161958,17.285933367411296,0.7669397600285746,61.54529571533203,61.60556176837911,61.51516843609564,61.57542874185557,821900,0.0018394686523133252,61.28403511047363,0.22336566742704056,177.52186584472656,177.52186584472656,175.47344549572972,175.9370837010872,79072600,0.005586788708906054,176.60979868570965,1.658943289594191
2015-08-18,17.381332397460938,17.39666748046875,16.90399932861328,17.025333404541016,62925000,0.022471468870960187,17.270022201538087,0.759563918604037,61.43229293823242,61.51515730936203,61.40968886196298,61.46995490410927,1083900,-0.0018360912200712232,61.2905211130778,0.22479469605719948,177.00767517089844,177.59775439252033,176.7716434822497,177.2437068595472,71692700,-0.0028964920539865657,176.6648722330729,1.643216584312945
2015-08-19,17.016666412353516,17.376667022705078,17.001333236694336,17.35533332824707,54064500,-0.02098032399177252,17.270666631062827,0.7593327522536081,61.65072250366211,61.67332657084618,61.33433453049079,61.372002228513765,1356600,0.0035556147261068816,61.29852460225423,0.2333302492674565,175.60833740234375,177.03295255660873,174.79065165130203,176.25741807513072,172946000,-0.007905520295680146,176.77136840820313,1.4503996072290313
2015-08-20,16.14533233642578,16.970666885375977,16.126667022705078,16.804000854492188,73587000,-0.05120474567775368,17.235688781738283,0.7866318112408327,61.7034912109375,61.74868787390725,61.65075410775713,61.67335818652875,1536900,0.0008559300707668971,61.315052541097,0.24398927922681443,171.94140625,175.58304720834417,171.8823918964091,174.08255453097036,194327900,-0.020881304422023517,176.74523468017577,1.5306573179585252
2015-08-21,15.38466739654541,16.253332138061523,15.36733341217041,15.733332633972168,98853000,-0.047113613026361856,17.172622140248617,0.8560167886815138,61.80140686035156,61.83906882285945,61.673345842710646,61.74867551501203,3459200,0.0015868737326276694,61.344366963704424,0.24793228701118408,166.7655487060547,171.91612038349808,166.50422882293316,170.0531421755877,346588500,-0.030102449763727668,176.4740778605143,2.362996622743737
2015-08-24,14.591333389282228,15.42666721343994,13.0,13.519332885742188,143724000,-0.05156653613722728,17.07642215092977,0.9745511302759748,61.78634643554688,62.09520560823344,61.71855144483212,61.99727759477221,4751800,-0.0002436906466986022,61.37794125874837,0.23669157460906018,159.74354553222656,166.4704732939633,153.75842601625803,158.04917271416707,507244300,-0.042107037264664804,175.90450744628907,3.8595161705540786
2015-08-25,14.66866683959961,15.393333435058594,14.607999801635742,15.368000030517578,64909500,0.005299957738899019,16.975044409434002,1.0607461553164566,61.58295440673828,61.71101544022316,61.46995701066316,61.71101544022316,5325500,-0.003291860427785176,61.400976689656574,0.22085501671649954,157.86367797851562,164.75919621515425,157.56863205789122,164.74233314069534,369833100,-0.011768034492083412,175.2467035929362,5.0569283975668196
