Date,Close,High,Low,Open,Volume
2015-07-01,60.81673049926758,60.91445618255124,60.7641080951284,60.79417885969534,5399300
2015-07-02,60.96706771850586,61.027209236918736,60.93699695929942,60.93699695929942,1060100
2015-07-06,61.17757797241211,61.22268699417173,61.05730063034968,61.22268699417173,2210700
2015-07-07,61.23771286010742,61.47075412813902,61.23771286010742,61.410618331345574,4183200
2015-07-08,61.41061782836914,61.463240234765024,61.312886405482395,61.373027937195445,1967800
2015-07-09,61.2076530456543,61.32793613158736,61.17758227417103,61.31289787813912,1670900
2015-07-10,60.921974182128906,61.01218647416326,60.854313529250206,60.90693593241729,2038300
2015-07-13,60.779117584228516,60.89940059692846,60.771598462082345,60.78663670637469,2846500
2015-07-14,60.89189147949219,60.944513872341986,60.86182072137649,60.89189147949219,1567700
2015-07-15,61.06482696533203,61.087378611167686,60.87688893615023,60.899440581985886,2631000
2015-07-16,61.06482696533203,61.1024111299203,60.9295113549046,60.9445438736572,1063100
2015-07-17,61.0723762512207,61.13251783240528,61.04230546062841,61.07989538272299,807900
2015-07-20,60.98967742919922,61.0573381356938,60.95209324596119,61.03478647866772,1026900
2015-07-21,61.102413177490234,61.14000307875164,60.96709756252831,60.98213581719835,1422900
2015-07-22,61.124969482421875,61.21518181107614,61.11745608992794,61.13248861032993,1624100
2015-07-23,61.26775360107422,61.29782435244044,61.109886457958616,61.15498971730325,1178400
2015-07-24,61.30536651611328,61.35046979241025,61.26777662892479,61.33543154337024,804300
2015-07-27,61.425662994384766,61.433182121250525,61.350488931967206,61.410630476066586,2022800
2015-07-28,61.32038879394531,61.38053030924328,61.31286967068043,61.3504595515943,1434700
2015-07-29,61.26775360107422,61.327895103806654,61.22265034172958,61.32037598211276,1020500
2015-07-30,61.29037094116211,61.32796085452299,61.22271597961116,61.25278676321676,788000
2015-07-31,61.50083541870117,61.51587367203213,61.433180484951386,61.47828377411791,1589100
2015-08-03,61.643218994140625,61.65828263119437,61.5000885793423,61.5452852377897,2085800
2015-08-04,61.43229293823242,61.60555062529534,61.417223554052796,61.59048698840183,1007300
2015-08-05,61.3343505859375,61.37201829382072,61.25148622642266,61.356948911753314,2097000
2015-08-06,61.371971130371094,61.43223711775661,61.33430345143492,61.34937282192174,1173000
2015-08-07,61.50007247924805,61.55280381606088,61.43227750932498,61.46993946574291,1773800
2015-08-10,61.371971130371094,61.47743373465531,61.33430345143492,61.45483542620595,1173300
2015-08-11,61.605552673339844,61.688417047224235,61.55282132153035,61.575419651264944,1424200
2015-08-12,61.58295440673828,61.79387981419249,61.56789076932854,61.71101544022316,1029700
2015-08-13,61.454891204833984,61.58295223380025,61.43229287587359,61.522686191715145,845500
2015-08-14,61.43229293823242,61.522686254165734,61.40215991715928,61.43229293823242,2279800
2015-08-17,61.54529571533203,61.60556176837911,61.51516843609564,61.57542874185557,821900
2015-08-18,61.43229293823242,61.51515730936203,61.409688861962984,61.469954904109265,1083900
2015-08-19,61.65072250366211,61.67332657084618,61.334334530490786,61.372002228513765,1356600
2015-08-20,61.7034912109375,61.74868787390725,61.65075410775713,61.67335818652875,1536900
2015-08-21,61.80140686035156,61.83906882285945,61.673345842710646,61.74867551501203,3459200
2015-08-24,61.786346435546875,62.09520560823344,61.71855144483212,61.997277594772214,4751800
2015-08-25,61.58295440673828,61.71101544022316,61.46995701066316,61.71101544022316,5325500
2015-08-26,61.31928253173828,61.57540453557195,61.28161482656985,61.424745209468014,2742500
2015-08-27,61.40214920043945,61.48501355710647,61.28161713718375,61.29668651873327,2671000
2015-08-28,61.43229293823242,61.5754176042222,61.40215991715928,61.53775563834536,2723900
2015-08-31,61.34940719604492,61.54526314386477,61.34187250657982,61.53019951221867,3103700
2015-09-01,61.49884033203125,61.55168064123443,61.40070421553836,61.43844976175282,2577700
2015-09-02,61.45357894897461,61.5215140528549,61.393188350526934,61.43847841978046,1934700
2015-09-03,61.49884033203125,61.574325665298396,61.446000022828066,61.536580119083936,2503000
2015-09-04,61.649845123291016,61.67249015988958,61.506424638445154,61.6045550500939,1213800
2015-09-08,61.49884033203125,61.536580119083936,61.45355028390331,61.536580119083936,1194600
2015-09-09,61.48374938964844,61.574335259180245,61.29503314749585,61.310133671999154,4265400
2015-09-10,61.355438232421875,61.46866915631525,61.355438232421875,61.46866915631525,1889000
